"p_year","Swiss_based","commuters","share"
1990,2226.46263736264,110.87380952381,1.04979819003617
1991,2126.74491341991,113.891666666667,1.05355210488479
1992,2297.24621212121,146.545021645022,1.06379160443134
1993,2157.12111222111,121.734126984127,1.05643360787415
1994,2284.81106116106,147.283116883117,1.06446183642348
1995,2309.28542389828,170.570818478907,1.07386302997183
1996,2443.6558564973,215.951262626263,1.08837220758892
1997,2863.58383838384,217.634737484737,1.07600082615621
1998,3082.36756576757,204.201587301587,1.06624829224439
1999,3208.02808077715,237.60516983017,1.07406580112373
2000,3393.98489523548,248.800535020535,1.07330631770631
2001,3438.89827476445,267.00346042846,1.07764215137964
2002,3266.75159327968,284.612878787879,1.08712412641763
2003,3406.41918265859,310.591075591076,1.09117817242582
2004,3701.85224264023,282.885140590404,1.07641718849066
2005,3850.84413130099,375.332309357309,1.09746754128698
2006,3886.55642727156,404.784074259074,1.1041497999151
2007,3929.80596610991,378.200661838162,1.09623901665876
2008,4039.83100146888,406.402092352092,1.10059878549482
2009,4053.09981551673,365.895573870574,1.0902754904949
2010,4418.56704267954,390.189446664447,1.08830678427996
2011,4508.88735569986,464.938633180545,1.10311604537931
2012,4700.88505745616,431.805032467532,1.09185611372961
2013,4799.39242864682,395.54734987235,1.08241612990665
2014,4709.68738883236,407.765444277944,1.08658015078556
2015,4548.08983452769,412.073257706346,1.09060358803338
2016,3573.71131843303,262.330355244171,1.0734055808848
2017,1894.80046897547,162.952777777778,1.08599996698644
2018,93.0301587301587,9.41666666666667,1.10122165537716
2019,3.18333333333333,0.5,1.15706806282723
