"p_year","regio_pat","Swiss_based","commuters","share"
1990,"Central Switzerland",152.95,0.5,1.00326904217064
1990,"Eastern Switzerland",303.735714285714,9.24285714285714,1.03043059050396
1990,"Espace Mittelland",357.119047619048,0,1
1990,"Lake Geneva Region",306.997619047619,5.91666666666667,1.01927267932899
1990,"Northwestern Switzerland",442.661507936508,64.7976190476191,1.14638186941005
1990,"Ticino",65.9166666666667,3,1.04551201011378
1990,"Zürich",566.413034188034,17.25,1.03045480763826
1991,"Central Switzerland",122.833333333333,2.03571428571429,1.01657297925955
1991,"Eastern Switzerland",292.328571428571,11.4357142857143,1.03911938620926
1991,"Espace Mittelland",328.925,2,1.00608041346812
1991,"Lake Geneva Region",262.461111111111,5.75,1.02190800753551
1991,"Northwestern Switzerland",444.162770562771,55.9940476190476,1.1260665038362
1991,"Ticino",90.2166666666667,9.16666666666667,1.10160724182524
1991,"Zürich",561.129365079365,23.0095238095238,1.0410057381443
1992,"Central Switzerland",202.890909090909,9.05,1.04460525136661
1992,"Eastern Switzerland",330.088095238095,11.0833333333333,1.03357689505688
1992,"Espace Mittelland",373.091666666667,1.5,1.00402045967256
1992,"Lake Geneva Region",271.071428571429,10.8666666666667,1.04008783487044
1992,"Northwestern Switzerland",458.009271284271,66.2521645021645,1.14465245281256
1992,"Ticino",77.5333333333333,10.3333333333333,1.13327601031814
1992,"Zürich",549.200793650794,23.25,1.04233424326547
1993,"Central Switzerland",157.542857142857,1.79166666666667,1.01137256679966
1993,"Eastern Switzerland",295.795670995671,13.8261904761905,1.04674236924986
1993,"Espace Mittelland",373.254004329004,2.08333333333333,1.00558154315606
1993,"Lake Geneva Region",251.055952380952,8.36666666666667,1.0333259043943
1993,"Northwestern Switzerland",456.423770673771,60.3857142857143,1.13230186104587
1993,"Ticino",62.8666666666667,11.5833333333333,1.18425238600212
1993,"Zürich",523.378221778222,14.0388888888889,1.02682360156521
1994,"Central Switzerland",207.528968253968,5.625,1.02710464976203
1994,"Eastern Switzerland",296.073448773449,17.75,1.0599513400257
1994,"Espace Mittelland",367.099603174603,0,1
1994,"Lake Geneva Region",299.08253968254,7.03333333333333,1.02351636220823
1994,"Northwestern Switzerland",508.020718170718,79.8930375180375,1.15726334509686
1994,"Ticino",65.35,16.6666666666667,1.25503698036215
1994,"Zürich",493.974938949939,9.58888888888889,1.0194116910248
1995,"Central Switzerland",183.436904761905,6.91666666666667,1.03770597130193
1995,"Eastern Switzerland",327.923412698413,19.9,1.0606849015026
1995,"Espace Mittelland",381.044313205951,1.725,1.00452703252671
1995,"Lake Geneva Region",309.710714285714,8.25,1.02663776104429
1995,"Northwestern Switzerland",495.761198121239,94.2029613360496,1.19001680989365
1995,"Ticino",60.902380952381,13.3333333333333,1.21892959067985
1995,"Zürich",515.21948051948,16.5857142857143,1.03219155119871
1996,"Central Switzerland",188.65119047619,8.51515151515152,1.04513701447448
1996,"Eastern Switzerland",333.455591630592,21.7833333333333,1.06532604004873
1996,"Espace Mittelland",401.290907192223,3.08333333333333,1.007683536502
1996,"Lake Geneva Region",325.00284992785,10.7202380952381,1.03298505873908
1996,"Northwestern Switzerland",514.971634286766,107.004761904762,1.20778768145737
1996,"Ticino",86.1378787878788,14.5333333333333,1.16872174631933
1996,"Zürich",525.79733044733,32.725,1.06223880971811
1997,"Central Switzerland",211.482972582973,16.4852564102564,1.07795075040279
1997,"Eastern Switzerland",426.242857142857,38.875,1.09120387438415
1997,"Espace Mittelland",532.062734487734,2.66666666666667,1.00501194031045
1997,"Lake Geneva Region",387.249267399267,15.4333333333333,1.03985374442922
1997,"Northwestern Switzerland",524.963431013431,86.9599206349206,1.16564948241642
1997,"Ticino",75.3111111111111,12.6666666666667,1.16819120684568
1997,"Zürich",632.373845598846,27.8785714285714,1.04408558580118
1998,"Central Switzerland",228.535714285714,23.1697802197802,1.10138362965367
1998,"Eastern Switzerland",446.818253968254,20.7984126984127,1.04654781337535
1998,"Espace Mittelland",547.496663059163,2.44444444444444,1.00446476592348
1998,"Lake Geneva Region",364.575396825397,14,1.03840083593656
1998,"Northwestern Switzerland",561.115996503496,99.0495421245421,1.17652239954261
1998,"Ticino",80.7,7.16666666666667,1.08880627839736
1998,"Zürich",767.32987012987,29.5813492063492,1.0385510200474
1999,"Central Switzerland",272.748412698413,14.3666666666667,1.05267369486968
1999,"Eastern Switzerland",395.596861471861,25.2285714285714,1.06377343676263
1999,"Espace Mittelland",553.095805802385,4,1.0072320201275
1999,"Lake Geneva Region",443.166062592378,11.275,1.02544193012896
1999,"Northwestern Switzerland",628.199108652785,122.36158008658,1.19478152452173
1999,"Ticino",92.7039682539683,15.3333333333333,1.16540104617018
1999,"Zürich",706.455956543457,36.3333333333333,1.05143042959267
2000,"Central Switzerland",272.213492063492,19.7261904761905,1.07246588083
2000,"Eastern Switzerland",427.813492063492,36.25,1.0847331855411
2000,"Espace Mittelland",586.540007215007,5.25,1.00895079608453
2000,"Lake Geneva Region",481.264757464757,14.5015873015873,1.03013224441777
2000,"Northwestern Switzerland",668.658907334496,111.913961038961,1.16737077725486
2000,"Ticino",114.392857142857,10,1.08741804558227
2000,"Zürich",780.834163059163,36.9996753246753,1.04738480598712
2001,"Central Switzerland",289.291941391941,12.6928571428571,1.04387559875254
2001,"Eastern Switzerland",468.261385836386,21.9285714285714,1.04682976664711
2001,"Espace Mittelland",580.281751581752,5.55952380952381,1.00958073176413
2001,"Lake Geneva Region",503.526984126984,24.6873015873016,1.04902875588704
2001,"Northwestern Switzerland",707.372589338766,129.492349317349,1.18306102225193
2001,"Ticino",81.4444444444444,17.8666666666667,1.2193724420191
2001,"Zürich",744.23338050838,43.8345238095238,1.0588988951014
2002,"Central Switzerland",285.01829004329,10.5333333333333,1.03695669260991
2002,"Eastern Switzerland",438.09700387332,30.8484848484848,1.07041473595059
2002,"Espace Mittelland",587.925793650794,2.16666666666667,1.0036852723423
2002,"Lake Geneva Region",477.824311351081,47.677380952381,1.09978014893711
2002,"Northwestern Switzerland",664.760905760906,140.542965367965,1.21141881863088
2002,"Ticino",100.453571428571,9.22619047619048,1.09184532062905
2002,"Zürich",710.744047619048,27.4583333333333,1.03863322306436
2003,"Central Switzerland",333.519047619048,12.7095238095238,1.03810734019618
2003,"Eastern Switzerland",399.106060606061,35.7833333333333,1.08965870695873
2003,"Espace Mittelland",572.137049062049,1.53333333333333,1.00268001056014
2003,"Lake Geneva Region",504.808673168077,45.6833333333333,1.09049633209872
2003,"Northwestern Switzerland",661.113084693085,156.87798035298,1.23729371568226
2003,"Ticino",88.8761904761905,11.8166666666667,1.13295649378483
2003,"Zürich",746.536020923521,28.802380952381,1.03858136800519
2004,"Central Switzerland",285.280257242757,13.6980158730159,1.04801599663926
2004,"Eastern Switzerland",405.490963203463,29.597619047619,1.0729920558865
2004,"Espace Mittelland",696.805776168276,1.03333333333333,1.00148295747348
2004,"Lake Geneva Region",571.771501700913,42.2662698412698,1.07392160979611
2004,"Northwestern Switzerland",762.983716555651,138.315299320562,1.18128211168773
2004,"Ticino",85.9777777777778,12.25,1.14247867666064
2004,"Zürich",827.108301420801,26.252380952381,1.03173995582838
2005,"Central Switzerland",298.288212917351,11.7047619047619,1.03923977347373
2005,"Eastern Switzerland",524.591428016428,52.4809523809524,1.10004157441038
2005,"Espace Mittelland",636.415467382859,6.4,1.0100563237822
2005,"Lake Geneva Region",549.472727272727,50.8916666666667,1.09261909488987
2005,"Northwestern Switzerland",755.462501031949,194.177150627151,1.25703082596675
2005,"Ticino",95.1511904761905,11.125,1.11691918875974
2005,"Zürich",910.450603912995,24.8416666666667,1.02728502409675
2006,"Central Switzerland",352.437896825397,15.4214285714286,1.04375644251182
2006,"Eastern Switzerland",480.628246753247,42.4833333333333,1.08839125378152
2006,"Espace Mittelland",649.892925495557,6.83333333333333,1.01051455257514
2006,"Lake Geneva Region",609.758344433344,53.9829365079365,1.08853168964519
2006,"Northwestern Switzerland",796.305171217671,216.507861582862,1.27189056332736
2006,"Ticino",92.3654761904762,17.7666666666667,1.19235181151482
2006,"Zürich",864.212031024531,26.0467032967033,1.03013925097273
2007,"Central Switzerland",340.474242424242,12.4650793650794,1.03661093208204
2007,"Eastern Switzerland",558.360353535354,48.3277777777778,1.08655302524934
2007,"Espace Mittelland",644.306411497859,6.45,1.01001076488593
2007,"Lake Geneva Region",556.354953379953,41.9628787878788,1.07542465207319
2007,"Northwestern Switzerland",754.745694583195,214.998100510601,1.28486164552331
2007,"Ticino",117.37702020202,14.375,1.12246860565432
2007,"Zürich",877.949675324675,15.9,1.01811037744745
2008,"Central Switzerland",382.682478632479,21.9166666666667,1.05727115269292
2008,"Eastern Switzerland",517.361840454232,48.4095238095238,1.09356995438052
2008,"Espace Mittelland",570.086238761239,4.68333333333333,1.0082151313519
2008,"Lake Geneva Region",660.585191197691,78.1428571428571,1.11829338317618
2008,"Northwestern Switzerland",777.692356684423,183.611976911977,1.23609847175917
2008,"Ticino",116.381746031746,23.4,1.20106245865754
2008,"Zürich",958.334218076609,23.0948773448773,1.0240989801984
2009,"Central Switzerland",380.80748973249,13.0611111111111,1.03429846172481
2009,"Eastern Switzerland",475.792010767011,47.7912087912088,1.10044558905932
2009,"Espace Mittelland",608.940866568072,3.15833333333333,1.00518660104245
2009,"Lake Geneva Region",662.718012543012,84.5402236652237,1.12756590595874
2009,"Northwestern Switzerland",830.344262926616,139.583346065699,1.1681029812547
2009,"Ticino",108.140650906827,17.4642857142857,1.16149602917901
2009,"Zürich",892.380154649272,28.7801948051948,1.03225104755552
2010,"Central Switzerland",368.544816294816,22.5166666666667,1.06109614264295
2010,"Eastern Switzerland",590.111482961483,59.05,1.10006583790516
2010,"Espace Mittelland",695.008408258408,6.57142857142857,1.00945517851776
2010,"Lake Geneva Region",762.356313496445,90.2115800865801,1.11833256771081
2010,"Northwestern Switzerland",835.019823232323,124.674386724387,1.14930709817376
2010,"Ticino",102.550432900433,26.3595238095238,1.25703961518248
2010,"Zürich",961.548135198135,34.5888278388278,1.03597201905207
2011,"Central Switzerland",377.843831168831,18.1520562770563,1.04804116087036
2011,"Eastern Switzerland",568.841458541459,63.0767857142857,1.11088640739375
2011,"Espace Mittelland",709.409067321567,6.825,1.00962068334673
2011,"Lake Geneva Region",752.414231601732,146.752561327561,1.19504224556619
2011,"Northwestern Switzerland",896.367246560629,154.077767167473,1.17189134002684
2011,"Ticino",125.363492063492,14.25,1.11366945643779
2011,"Zürich",983.513687701188,32.4166666666667,1.0329600564507
2012,"Central Switzerland",341.558315660947,24.9,1.07290116755558
2012,"Eastern Switzerland",543.189017415333,55.55,1.10226642700606
2012,"Espace Mittelland",718.756710729931,7.11666666666667,1.00990135682968
2012,"Lake Geneva Region",771.95886423518,101.972619047619,1.13209592346433
2012,"Northwestern Switzerland",981.789851359511,163.0572945845,1.1660816664164
2012,"Ticino",142.632575757576,14.5,1.10165980613464
2012,"Zürich",1140.13087797995,42.2813852813853,1.03708467694191
2013,"Central Switzerland",327.640124193209,12.4956349206349,1.03813829258979
2013,"Eastern Switzerland",560.06093438725,70.6333333333333,1.12611722938793
2013,"Espace Mittelland",749.650516150516,3.73333333333333,1.00498009839639
2013,"Lake Geneva Region",862.261230605095,80.1841630591631,1.09299288917686
2013,"Northwestern Switzerland",918.095923520924,158.437717837718,1.17257207420125
2013,"Ticino",137.037415362415,21.65,1.15798605032606
2013,"Zürich",1142.57475212829,29.3912698412698,1.02572371723296
2014,"Central Switzerland",331.617771117771,14.575,1.04395120306995
2014,"Eastern Switzerland",541.209834609835,59.5166666666667,1.10996966954522
2014,"Espace Mittelland",755.985698512014,5,1.00661388173062
2014,"Lake Geneva Region",858.844691273639,75.4464646464646,1.08784645863571
2014,"Northwestern Switzerland",783.298584993438,143.120368520369,1.1827149585896
2014,"Ticino",167.956673881674,36.025,1.21448983935809
2014,"Zürich",1008.73384393384,33.739880952381,1.03344775349343
2015,"Central Switzerland",324.111793761794,9.78333333333333,1.03018505812388
2015,"Eastern Switzerland",478.758816273332,49.106746031746,1.10257094880047
2015,"Espace Mittelland",700.94657009657,2.33333333333333,1.00332883194366
2015,"Lake Geneva Region",778.173884538401,99.934126984127,1.12842133226227
2015,"Northwestern Switzerland",814.365837104072,134.447229567818,1.16509438810194
2015,"Ticino",120.557575757576,46.6083333333333,1.38660642469334
2015,"Zürich",1090.18992396492,24.6915043290043,1.02264880988737
2016,"Central Switzerland",324.035714285714,2.32619047619048,1.00717880892024
2016,"Eastern Switzerland",392.32619047619,36.4492063492063,1.09290536098282
2016,"Espace Mittelland",597.998484848485,0.75,1.00125418377973
2016,"Lake Geneva Region",589.095096570097,75.0017857142857,1.12731694110335
2016,"Northwestern Switzerland",543.148289795,80.6609649122807,1.14850634058468
2016,"Ticino",98.7853174603175,28.3190476190476,1.28667263867855
2016,"Zürich",846.263827838828,20.7107142857143,1.02447311772572
2017,"Central Switzerland",176.063344988345,0,1
2017,"Eastern Switzerland",275.784895659896,35.2023809523809,1.12764433986912
2017,"Espace Mittelland",331.871933621934,0,1
2017,"Lake Geneva Region",276.645562770563,43.3166666666667,1.15657820871174
2017,"Northwestern Switzerland",216.998001998002,55.7164141414141,1.25676003294227
2017,"Ticino",40.7111111111111,14.6583333333333,1.36005731441048
2017,"Zürich",529.425907425907,8.48333333333333,1.01602364601797
2018,"Central Switzerland",7.68333333333333,0,1
2018,"Eastern Switzerland",17.3666666666667,4.58333333333333,1.26391554702495
2018,"Espace Mittelland",14.3,0,1
2018,"Lake Geneva Region",14.4444444444444,2.5,1.17307692307692
2018,"Northwestern Switzerland",7.25,1.33333333333333,1.18390804597701
2018,"Ticino",1.34722222222222,0,1
2018,"Zürich",38.0988095238095,0,1
2019,"Lake Geneva Region",0.4,0,1
